,Country_of_Origin,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints
66,Panama,CentralA,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5
67,Kenya,Africa,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5
68,Ethiopia,Africa,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5
69,Uganda,Africa,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5
70,Guatemala,CentralA,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5
71,Ethiopia,Africa,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42
72,Uganda,Africa,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42
73,United States (Hawaii),Pacific,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42
74,Brazil,SouthA,8,8,8,7.67,7.75,8,10,10,10,8,85.42
75,El Salvador,CentralA,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42
76,China,Asia,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33
77,Guatemala,CentralA,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33
78,Costa Rica,CentralA,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33
79,Costa Rica,CentralA,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33
80,Kenya,Africa,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33
81,Kenya,Africa,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33
82,Ethiopia,Africa,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33
83,Ethiopia,Africa,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33
84,Guatemala,CentralA,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25
85,Colombia,SouthA,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25
86,Colombia,SouthA,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25
87,Indonesia,Asia,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17
88,Guatemala,CentralA,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17
89,Ethiopia,Africa,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08
90,Colombia,SouthA,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08
91,Ethiopia,Africa,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08
92,United States (Hawaii),Pacific,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08
93,Colombia,SouthA,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08
94,United States (Hawaii),Pacific,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08
95,Ethiopia,Africa,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08
96,United States (Hawaii),Pacific,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08
97,Uganda,Africa,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85
98,Colombia,SouthA,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85
99,Costa Rica,CentralA,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85
100,Mexico,CentralA,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85
101,Kenya,Africa,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85
102,Kenya,Africa,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85
103,Brazil,SouthA,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85
104,Mexico,CentralA,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85
105,United States (Hawaii),Pacific,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85
106,Guatemala,CentralA,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85
107,Colombia,SouthA,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92
108,Colombia,SouthA,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92
109,Taiwan,Asia,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92
110,"Tanzania, United Republic Of",Africa,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92
111,Colombia,SouthA,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92
112,Mexico,CentralA,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92
113,Brazil,SouthA,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92
114,Brazil,SouthA,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92
115,Kenya,Africa,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92
116,Taiwan,Asia,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83
117,Uganda,Africa,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83
118,United States (Hawaii),Pacific,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83
119,Ethiopia,Africa,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83
120,Ethiopia,Africa,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83
121,Thailand,Asia,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75
122,Kenya,Africa,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75
123,Honduras,CentralA,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75
124,El Salvador,CentralA,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75
125,Nicaragua,CentralA,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75
126,El Salvador,CentralA,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67
127,Indonesia,Asia,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67
128,Japan,Asia,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67
129,Costa Rica,CentralA,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67
130,Guatemala,CentralA,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67
131,Costa Rica,CentralA,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67
132,Ethiopia,Africa,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67
133,Costa Rica,CentralA,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67
134,Costa Rica,CentralA,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67
135,Costa Rica,CentralA,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67
136,Taiwan,Asia,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67
137,Colombia,SouthA,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67
138,Kenya,Africa,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67
139,Guatemala,CentralA,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67
140,Guatemala,CentralA,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67
141,Mexico,CentralA,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67
142,Uganda,Africa,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67
143,Peru,SouthA,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,84.67
144,Ethiopia,Africa,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67
145,Kenya,Africa,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58
146,Colombia,SouthA,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58
147,Colombia,SouthA,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58
148,Kenya,Africa,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58
149,Guatemala,CentralA,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58
150,Guatemala,CentralA,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58
151,Colombia,SouthA,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58
152,Colombia,SouthA,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58
153,Kenya,Africa,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,84.58
154,Colombia,SouthA,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58
155,Costa Rica,CentralA,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58
156,Colombia,SouthA,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58
157,Brazil,SouthA,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58
158,Brazil,SouthA,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58
159,Costa Rica,CentralA,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5
160,Uganda,Africa,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,84.5
161,China,Asia,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5
162,Costa Rica,CentralA,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5
163,Colombia,SouthA,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5
164,China,Asia,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5
165,Guatemala,CentralA,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5
166,Kenya,Africa,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5
167,Mexico,CentralA,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5
168,Mexico,CentralA,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5
169,Guatemala,CentralA,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,84.5
170,Brazil,SouthA,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,84.5
