,Country_of_Origin,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints
278,Guatemala,CentralA,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83
279,Taiwan,Asia,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,83.83
280,Brazil,SouthA,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83
281,Taiwan,Asia,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83
282,Ethiopia,Africa,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83
283,Brazil,SouthA,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83
284,Costa Rica,CentralA,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83
285,Guatemala,CentralA,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,83.83
286,Brazil,SouthA,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83
287,Ecuador,SouthA,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,83.83
288,Colombia,SouthA,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83
289,Guatemala,CentralA,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,83.83
290,Mexico,CentralA,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,83.83
291,Mexico,CentralA,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,83.83
292,Brazil,SouthA,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83
293,Thailand,Asia,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,83.83
294,Thailand,Asia,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,83.83
295,Ethiopia,Africa,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,83.83
296,Kenya,Africa,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,83.75
297,Brazil,SouthA,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75
298,Colombia,SouthA,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,83.75
299,Taiwan,Asia,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,83.75
300,Colombia,SouthA,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,83.75
301,China,Asia,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,83.75
302,Colombia,SouthA,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75
303,Uganda,Africa,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,83.75
304,United States (Puerto Rico),CentralA,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,83.75
305,Colombia,SouthA,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,83.75
306,Colombia,SouthA,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75
307,Colombia,SouthA,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75
308,Colombia,SouthA,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75
309,United States (Hawaii),Pacific,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,83.75
310,Mexico,CentralA,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75
311,Guatemala,CentralA,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75
312,Colombia,SouthA,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,83.75
313,Colombia,SouthA,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75
314,United States (Hawaii),Pacific,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,83.75
315,Brazil,SouthA,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67
316,Kenya,Africa,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,83.67
317,Honduras,CentralA,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67
318,Nicaragua,CentralA,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67
319,Brazil,SouthA,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67
320,Taiwan,Asia,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67
321,Costa Rica,CentralA,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67
322,Thailand,Asia,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67
323,Colombia,SouthA,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67
324,Guatemala,CentralA,8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67
325,Colombia,SouthA,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67
326,Colombia,SouthA,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67
327,Guatemala,CentralA,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67
328,Guatemala,CentralA,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67
329,Colombia,SouthA,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67
330,Guatemala,CentralA,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67
331,Guatemala,CentralA,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67
332,Mexico,CentralA,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67
333,Indonesia,Asia,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67
334,Guatemala,CentralA,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67
335,United States (Hawaii),Pacific,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67
336,Brazil,SouthA,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58
337,Guatemala,CentralA,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58
338,Colombia,SouthA,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58
339,China,Asia,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58
340,Colombia,SouthA,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58
341,Mexico,CentralA,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58
342,Ethiopia,Africa,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58
343,Uganda,Africa,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58
344,Colombia,SouthA,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58
345,Colombia,SouthA,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58
346,Colombia,SouthA,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58
347,Taiwan,Asia,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58
348,Colombia,SouthA,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58
349,Mexico,CentralA,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58
350,Colombia,SouthA,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58
351,Brazil,SouthA,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58
352,Colombia,SouthA,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5
353,Taiwan,Asia,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5
354,Costa Rica,CentralA,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5
355,Colombia,SouthA,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5
356,Guatemala,CentralA,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5
357,Colombia,SouthA,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5
358,"Tanzania, United Republic Of",Africa,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5
359,Indonesia,Asia,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5
360,Ethiopia,Africa,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5
361,Colombia,SouthA,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5
362,Colombia,SouthA,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5
363,Guatemala,CentralA,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5
364,Colombia,SouthA,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5
365,Honduras,CentralA,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5
366,Colombia,SouthA,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5
367,Colombia,SouthA,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5
368,Mexico,CentralA,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5
369,Mexico,CentralA,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5
370,Mexico,CentralA,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5
371,Guatemala,CentralA,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5
372,Colombia,SouthA,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5
373,Guatemala,CentralA,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5
374,United States (Hawaii),Pacific,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5
375,Indonesia,Asia,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5
376,Colombia,SouthA,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42
377,Guatemala,CentralA,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42
378,Colombia,SouthA,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42
379,Costa Rica,CentralA,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42
380,Taiwan,Asia,7.67,7.67,7,7.08,7,7,10,10,10,10,83.42
381,Uganda,Africa,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42
382,Thailand,Asia,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42
383,El Salvador,CentralA,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42
384,Colombia,SouthA,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42
385,Brazil,SouthA,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42
386,"Tanzania, United Republic Of",Africa,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42
387,Colombia,SouthA,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42
388,Guatemala,CentralA,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42
389,Guatemala,CentralA,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42
390,Guatemala,CentralA,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42
391,United States (Hawaii),Pacific,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42
392,Colombia,SouthA,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42
393,Colombia,SouthA,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42
394,United States (Hawaii),Pacific,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42
395,Thailand,Asia,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42
396,Mexico,CentralA,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38
397,Colombia,SouthA,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33
398,Colombia,SouthA,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33
399,Colombia,SouthA,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33
400,Brazil,SouthA,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33
401,Mexico,CentralA,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33
402,Colombia,SouthA,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33
403,"Tanzania, United Republic Of",Africa,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33
404,Mexico,CentralA,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33
405,Costa Rica,CentralA,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33
406,United States (Hawaii),Pacific,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33
407,Costa Rica,CentralA,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33
408,Peru,SouthA,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33
409,Haiti,CentralA,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33
410,Colombia,SouthA,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33
411,Guatemala,CentralA,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33
412,United States (Hawaii),Pacific,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33
413,Burundi,Africa,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33
414,Colombia,SouthA,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33
415,United States (Hawaii),Pacific,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33
416,United States (Hawaii),Pacific,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33
417,Mexico,CentralA,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25
418,Costa Rica,CentralA,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25
419,Costa Rica,CentralA,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25
420,Guatemala,CentralA,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25
421,Uganda,Africa,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25
422,Brazil,SouthA,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25
423,Colombia,SouthA,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25
424,Mexico,CentralA,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25
425,Taiwan,Asia,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25
426,Taiwan,Asia,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25
427,Colombia,SouthA,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25
428,Guatemala,CentralA,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25
429,Colombia,SouthA,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25
430,Mexico,CentralA,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25
431,United States (Hawaii),Pacific,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83.25
432,Mexico,CentralA,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25
433,Mexico,CentralA,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25
434,Guatemala,CentralA,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25
435,Brazil,SouthA,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25
436,Colombia,SouthA,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25
437,Colombia,SouthA,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25
438,Colombia,SouthA,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25
439,Colombia,SouthA,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25
440,Colombia,SouthA,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25
441,Brazil,SouthA,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17
442,Guatemala,CentralA,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17
443,"Tanzania, United Republic Of",Africa,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17
444,Peru,SouthA,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,83.17
445,Vietnam,Asia,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83.17
446,Guatemala,CentralA,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17
447,Honduras,CentralA,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
448,China,Asia,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17
449,China,Asia,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17
450,El Salvador,CentralA,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17
451,Guatemala,CentralA,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17
452,Guatemala,CentralA,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17
453,Kenya,Africa,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17
454,Thailand,Asia,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17
455,"Tanzania, United Republic Of",Africa,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17
456,Colombia,SouthA,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17
457,Uganda,Africa,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17
458,Colombia,SouthA,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17
459,Honduras,CentralA,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17
460,Honduras,CentralA,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17
461,Guatemala,CentralA,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17
462,United States (Hawaii),Pacific,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17
463,"Tanzania, United Republic Of",Africa,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17
464,Guatemala,CentralA,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17
465,Mexico,CentralA,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17
466,Mexico,CentralA,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,83.17
467,Mexico,CentralA,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,83.17
468,Colombia,SouthA,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17
469,Mexico,CentralA,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,83.17
470,Colombia,SouthA,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17
471,Mexico,CentralA,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,83.17
472,Brazil,SouthA,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17
473,Brazil,SouthA,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17
474,Guatemala,CentralA,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,83.17
475,Brazil,SouthA,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17
476,Brazil,SouthA,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17
477,El Salvador,CentralA,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,83.17
478,Ethiopia,Africa,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17
479,Colombia,SouthA,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,83.08
480,Colombia,SouthA,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,83.08
481,Brazil,SouthA,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,83.08
482,Brazil,SouthA,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,83.08
483,Taiwan,Asia,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,83.08
484,Brazil,SouthA,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83.08
485,Brazil,SouthA,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,83.08
486,Costa Rica,CentralA,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,83.08
487,United States (Hawaii),Pacific,7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,83.08
488,Taiwan,Asia,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,83.08
489,United States (Hawaii),Pacific,7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,83.08
490,Mexico,CentralA,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,83.08
491,United States (Hawaii),Pacific,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,83.08
492,United States (Hawaii),Pacific,7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,83.08
493,Colombia,SouthA,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,83.08
494,Colombia,SouthA,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,83.08
495,Indonesia,Asia,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,83.08
496,Guatemala,CentralA,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,83.08
497,Brazil,SouthA,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,83
498,Brazil,SouthA,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,83
499,Brazil,SouthA,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,83
500,Uganda,Africa,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,83
501,Uganda,Africa,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,83
502,Colombia,SouthA,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,83
503,Vietnam,Asia,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,83
504,Guatemala,CentralA,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,83
505,Guatemala,CentralA,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,83
506,Guatemala,CentralA,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,83
507,Brazil,SouthA,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,83
508,Taiwan,Asia,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,83
509,Uganda,Africa,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,83
510,United States (Puerto Rico),CentralA,7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,83
511,Guatemala,CentralA,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,83
512,Costa Rica,CentralA,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,83
513,Brazil,SouthA,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,83
514,Colombia,SouthA,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,83
515,Colombia,SouthA,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,83
516,Colombia,SouthA,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,83
517,Colombia,SouthA,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,83
518,Colombia,SouthA,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,83
519,Mexico,CentralA,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,83
520,Mexico,CentralA,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,83
521,Mexico,CentralA,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,83
522,Colombia,SouthA,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,83
523,Colombia,SouthA,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,83
524,Colombia,SouthA,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,83
525,Guatemala,CentralA,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,83
526,Colombia,SouthA,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,83
527,Thailand,Asia,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,83
528,Colombia,SouthA,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,83
529,United States (Hawaii),Pacific,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,83
530,United States (Hawaii),Pacific,7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,83
531,Colombia,SouthA,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,83
532,Nicaragua,CentralA,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,83
533,Thailand,Asia,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,83
534,Brazil,SouthA,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,82.92
535,El Salvador,CentralA,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,82.92
536,Colombia,SouthA,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,82.92
537,Taiwan,Asia,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,82.92
538,Ethiopia,Africa,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,82.92
539,Taiwan,Asia,7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,82.92
540,Philippines,Asia,7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,7.5,82.92
541,Philippines,Asia,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,82.92
542,Mexico,CentralA,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,82.92
543,Mexico,CentralA,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,82.92
544,Brazil,SouthA,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,82.92
545,Uganda,Africa,8,7.5,7.5,7.58,7.33,7.42,10,10,10,7.58,82.92
546,Uganda,Africa,7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,7.5,82.92
547,Guatemala,CentralA,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,82.92
548,Guatemala,CentralA,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,82.92
549,Guatemala,CentralA,7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,7.75,82.92
550,Colombia,SouthA,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,82.92
551,Colombia,SouthA,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,82.92
552,Guatemala,CentralA,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,82.92
553,Colombia,SouthA,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,82.92
